Protocol,Users,Error Percentile (%),Mean Response Time (ms),Min Response Time (ms),Max Response Time (ms),Median Response Time (ms),90th Percentile (ms),95th Percentile (ms),99th Percentile (ms),Throughput (req/s)
grpc,5,0.0,428.4,58.0,709.0,458.0,709.0,709.0,709.0,7.052186177715092
grpc,10,0.0,67.5,31.0,165.0,34.5,165.0,165.0,165.0,12.706480304955527
grpc,50,0.0,68.39999999999998,19.0,202.0,25.0,195.0,198.45,202.0,58.9622641509434
grpc,100,0.0,92.75000000000009,17.0,279.0,27.0,250.8,275.0,278.99,118.48341232227489
grpc,1000,0.0,1411.5870000000007,292.0,2158.0,1436.0,1979.0,2036.0,2124.96,463.1773969430292
grpc,10000,33.09,9510.499299999947,2208.0,17218.0,9910.5,14317.9,14660.799999999996,14960.98,572.7704908643107
rmi,5,0.0,202.2,23.0,442.0,160.0,442.0,442.0,442.0,7.112375533428165
rmi,10,0.0,26.599999999999998,20.0,57.0,22.0,54.50000000000001,57.0,57.0,12.091898428053204
rmi,50,0.0,20.160000000000007,11.0,56.0,16.0,51.699999999999996,54.89999999999999,56.0,55.43237250554324
rmi,100,0.0,17.76999999999999,10.0,40.0,15.0,31.0,34.94999999999999,39.97999999999999,110.37527593818984
rmi,1000,0.0,134.36300000000003,17.0,681.0,100.0,273.0,317.0,505.9200000000001,1043.8413361169103
rmi,10000,20.802958,5745.024437827278,27.0,18044.0,4528.0,13525.0,14757.0,16986.2,496.78637012854523
thrift,5,0.0,226.4,20.0,550.0,170.0,550.0,550.0,550.0,6.226650062266501
thrift,10,0.0,22.400000000000002,20.0,34.0,21.0,32.800000000000004,34.0,34.0,11.098779134295228
thrift,50,0.0,15.599999999999998,13.0,29.0,15.0,16.9,28.449999999999996,29.0,51.59958720330237
thrift,100,0.0,16.259999999999998,11.0,33.0,14.0,26.900000000000006,29.0,32.989999999999995,102.14504596527068
thrift,1000,0.0,115.30799999999995,24.0,743.0,67.0,256.0,367.89999999999986,571.6300000000003,1002.004008016032
thrift,10000,27.43,3201.552899999993,23.0,11601.0,2671.5,7063.0,9771.949999999999,11275.0,777.8469197261979
