Time [ms],CPU usage [%],Used [B]
"5:03:30.081 PM, Mar 2, 2025",0,"21,266,432"
"5:03:31.081 PM, Mar 2, 2025",0,"21,266,432"
"5:03:32.082 PM, Mar 2, 2025",0,"21,266,432"
"5:03:33.083 PM, Mar 2, 2025",0,"21,266,432"
"5:03:34.084 PM, Mar 2, 2025",0.2,"23,363,584"
"5:03:35.084 PM, Mar 2, 2025",0,"23,363,584"
"5:03:36.084 PM, Mar 2, 2025",0,"23,363,584"
"5:03:37.086 PM, Mar 2, 2025",0,"23,363,584"
"5:03:38.086 PM, Mar 2, 2025",0,"23,363,584"
"5:03:39.086 PM, Mar 2, 2025",0,"23,363,584"
"5:03:40.086 PM, Mar 2, 2025",0,"23,363,584"
"5:03:41.087 PM, Mar 2, 2025",0,"23,363,584"
"5:03:42.102 PM, Mar 2, 2025",0,"23,363,584"
"5:03:43.102 PM, Mar 2, 2025",0.3,"25,460,736"
"5:03:44.103 PM, Mar 2, 2025",3,"16,547,840"
"5:03:45.105 PM, Mar 2, 2025",0,"16,547,840"
"5:03:46.105 PM, Mar 2, 2025",0.1,"16,547,840"
"5:03:47.106 PM, Mar 2, 2025",0.2,"16,547,840"
"5:03:48.106 PM, Mar 2, 2025",0.2,"16,547,840"
"5:03:49.107 PM, Mar 2, 2025",0.2,"16,547,840"
"5:03:50.108 PM, Mar 2, 2025",0,"16,547,840"
"5:03:51.108 PM, Mar 2, 2025",0,"16,547,840"
"5:03:52.109 PM, Mar 2, 2025",0.6,"16,547,840"
"5:03:53.109 PM, Mar 2, 2025",0,"16,547,840"
"5:03:54.110 PM, Mar 2, 2025",0,"16,547,840"
"5:03:55.112 PM, Mar 2, 2025",0,"18,644,992"
"5:03:56.113 PM, Mar 2, 2025",0.5,"22,839,296"
"5:03:57.114 PM, Mar 2, 2025",1.6,"22,839,296"
"5:03:58.120 PM, Mar 2, 2025",0.1,"22,839,296"
"5:03:59.118 PM, Mar 2, 2025",0.1,"22,839,296"
"5:04:00.117 PM, Mar 2, 2025",0.6,"22,839,296"
"5:04:01.116 PM, Mar 2, 2025",0,"22,839,296"
"5:04:02.126 PM, Mar 2, 2025",0,"24,936,448"
"5:04:03.117 PM, Mar 2, 2025",0,"24,936,448"
"5:04:04.117 PM, Mar 2, 2025",0,"24,936,448"
"5:04:05.117 PM, Mar 2, 2025",0,"24,936,448"
"5:04:06.118 PM, Mar 2, 2025",0,"24,936,448"
"5:04:07.120 PM, Mar 2, 2025",0,"24,936,448"
"5:04:08.119 PM, Mar 2, 2025",1.9,"45,907,968"
"5:04:09.120 PM, Mar 2, 2025",0,"45,907,968"
"5:04:10.121 PM, Mar 2, 2025",0,"45,907,968"
"5:04:11.122 PM, Mar 2, 2025",0,"45,907,968"
"5:04:12.122 PM, Mar 2, 2025",0,"45,907,968"
"5:04:13.123 PM, Mar 2, 2025",0,"48,005,120"
"5:04:14.123 PM, Mar 2, 2025",0,"48,005,120"
"5:04:15.124 PM, Mar 2, 2025",0,"48,005,120"
"5:04:16.125 PM, Mar 2, 2025",0,"48,005,120"
"5:04:17.126 PM, Mar 2, 2025",0,"48,005,120"
"5:04:18.126 PM, Mar 2, 2025",0,"48,005,120"
"5:04:19.128 PM, Mar 2, 2025",0,"54,296,576"
"5:04:20.128 PM, Mar 2, 2025",3.9,"23,232,032"
"5:04:21.129 PM, Mar 2, 2025",0,"23,232,032"
"5:04:22.129 PM, Mar 2, 2025",0,"25,329,184"
"5:04:23.129 PM, Mar 2, 2025",0,"25,329,184"
"5:04:24.131 PM, Mar 2, 2025",0,"25,329,184"
"5:04:25.132 PM, Mar 2, 2025",0,"27,426,336"
"5:04:26.132 PM, Mar 2, 2025",0,"27,426,336"
"5:04:27.132 PM, Mar 2, 2025",0,"27,426,336"
"5:04:28.133 PM, Mar 2, 2025",0,"27,426,336"
"5:04:29.134 PM, Mar 2, 2025",0.1,"27,426,336"
"5:04:30.135 PM, Mar 2, 2025",0,"27,426,336"
"5:04:31.137 PM, Mar 2, 2025",0,"27,426,336"
"5:04:32.139 PM, Mar 2, 2025",15,"111,775,824"
"5:04:33.139 PM, Mar 2, 2025",1.9,"122,261,584"
"5:04:34.139 PM, Mar 2, 2025",0.1,"132,747,344"
"5:04:35.141 PM, Mar 2, 2025",0.1,"132,747,344"
"5:04:36.141 PM, Mar 2, 2025",0,"132,747,344"
"5:04:37.142 PM, Mar 2, 2025",0.1,"132,747,344"
"5:04:38.143 PM, Mar 2, 2025",0.1,"134,844,496"
"5:04:39.144 PM, Mar 2, 2025",0,"134,844,496"
"5:04:40.145 PM, Mar 2, 2025",0,"134,844,496"
"5:04:41.146 PM, Mar 2, 2025",0,"134,844,496"
"5:04:42.147 PM, Mar 2, 2025",0.3,"136,941,648"
"5:04:43.148 PM, Mar 2, 2025",0,"136,941,648"
"5:04:44.155 PM, Mar 2, 2025",0.1,"136,941,648"
"5:04:45.156 PM, Mar 2, 2025",48.2,"73,263,608"
"5:04:46.157 PM, Mar 2, 2025",0.5,"75,360,760"
"5:04:47.158 PM, Mar 2, 2025",0.2,"79,555,064"
"5:04:48.159 PM, Mar 2, 2025",0.1,"81,652,216"
"5:04:49.159 PM, Mar 2, 2025",0,"81,652,216"
"5:04:50.160 PM, Mar 2, 2025",0,"81,652,216"
"5:04:51.160 PM, Mar 2, 2025",0,"83,749,368"
"5:04:52.160 PM, Mar 2, 2025",0,"83,749,368"
"5:04:53.161 PM, Mar 2, 2025",0,"85,846,520"
"5:04:54.161 PM, Mar 2, 2025",0,"85,846,520"
"5:04:55.162 PM, Mar 2, 2025",0,"87,943,672"
"5:04:56.164 PM, Mar 2, 2025",0,"90,040,824"
"5:04:57.164 PM, Mar 2, 2025",0,"94,235,128"
"5:04:58.164 PM, Mar 2, 2025",18.7,"135,275,968"
"5:04:59.165 PM, Mar 2, 2025",23.2,"169,385,008"
"5:05:00.165 PM, Mar 2, 2025",14.6,"199,229,432"
"5:05:01.165 PM, Mar 2, 2025",16,"232,783,872"
"5:05:02.166 PM, Mar 2, 2025",11.9,"261,116,928"
"5:05:03.168 PM, Mar 2, 2025",11.7,"285,212,672"
"5:05:04.169 PM, Mar 2, 2025",8.7,"356,085,208"
"5:05:05.170 PM, Mar 2, 2025",18.6,"444,596,200"
"5:05:06.228 PM, Mar 2, 2025",30.8,"351,595,008"
"5:05:07.171 PM, Mar 2, 2025",23.9,"388,925,824"
"5:05:08.171 PM, Mar 2, 2025",29.2,"564,133,880"
"5:05:09.172 PM, Mar 2, 2025",42.7,"533,390,920"
"5:05:12.215 PM, Mar 2, 2025",86,"553,648,128"
"5:05:13.218 PM, Mar 2, 2025",73.4,"520,774,680"
"5:05:14.347 PM, Mar 2, 2025",100,"527,066,136"
"5:05:15.346 PM, Mar 2, 2025",33.8,"642,409,496"
"5:05:16.348 PM, Mar 2, 2025",7.8,"651,703,696"
"5:05:17.349 PM, Mar 2, 2025",1.8,"681,063,816"
"5:05:18.350 PM, Mar 2, 2025",1,"514,808,800"
"5:05:19.351 PM, Mar 2, 2025",4.5,"584,014,816"
"5:05:20.351 PM, Mar 2, 2025",1.9,"625,957,856"
"5:05:21.353 PM, Mar 2, 2025",1.4,"669,998,048"
"5:05:22.354 PM, Mar 2, 2025",1.3,"516,905,952"
"5:05:23.355 PM, Mar 2, 2025",1.4,"550,460,384"
"5:05:24.355 PM, Mar 2, 2025",1.2,"586,111,968"
"5:05:25.356 PM, Mar 2, 2025",1.2,"619,666,400"
"5:05:26.356 PM, Mar 2, 2025",1.8,"655,317,984"
"5:05:27.357 PM, Mar 2, 2025",1.6,"688,872,416"
"5:05:28.358 PM, Mar 2, 2025",1.4,"521,023,344"
"5:05:29.359 PM, Mar 2, 2025",1.4,"554,577,776"
"5:05:30.360 PM, Mar 2, 2025",1.6,"588,132,208"
"5:05:31.361 PM, Mar 2, 2025",1.5,"621,686,640"
"5:05:32.361 PM, Mar 2, 2025",1.5,"655,241,072"
"5:05:33.369 PM, Mar 2, 2025",1.4,"690,892,656"
"5:05:34.373 PM, Mar 2, 2025",1.6,"520,326,576"
"5:05:35.374 PM, Mar 2, 2025",1.4,"551,783,856"
"5:05:36.374 PM, Mar 2, 2025",1.7,"585,338,288"
